Millenium,2023,2022,2021,2020,2019
Fatturato,23.344,18.396,14.839,10.757,9.658
Acquisti consumati,3.166,2.196,1.120,1.550,1.656
Spese per il personale,10.995,9.199,8.117,5.930,4.994
Risultato d'esercizio,2.259,2.171,1.607,1.360,1.202
Imposte sugli utili,824,687,398,246,334
Utile netto,1.265,1.336,1.070,944,711
Utile netto: quota del gruppo,1.265,1.336,1.070,944,711
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
