Millenium,2023,2022,2021,2020,2019
Fatturato,41.997,41.277,37.019,31.261,35.791
Acquisti consumati,,,,9,9
Spese per il personale,16.166,12.301,10.910,9.982,7.348
Risultato d'esercizio,3.791,4.180,3.155,1.020,1.686
Imposte sugli utili,1.035,1.325,809,614,549
Utile netto,1.993,2.482,2.149,67,766
Utile netto: quota del gruppo,1.993,2.481,2.015,-406,233
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
