Millenium,2023,2022,2021,2020,2019
Fatturato,6.650.063,6.615.727,5.331.450,4.302.131,5.323.054
Proventi dalle attività ordinarie,6.650.063,6.615.727,5.331.450,4.302.131,5.323.054
Risultato operativo,808.327,791.482,577.054,219.139,742.744
Costo dell'indebitamento finanziario netto,157.753,85.598,102.081,109.371,121.484
Risultato delle aziende associate al bilancio di Gruppo,15.879,5.848,3.978,-5.271,-11.006
Risultato netto delle attività dismesse,,,,,
Utile netto,495.905,435.900,321.593,42.673,457.697
Utile netto: quota del gruppo,479.080,417.760,302.796,29.781,438.134
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
