Millenium,2023,2022,2021,2020,2019
Fatturato,794.709.742,565.611.629,434.552.360,338.183.577,291.256
Proventi dalle attività ordinarie,794.709.742,565.611.629,434.552.360,338.183.577,
Risultato operativo,100.686.556,77.799.999,68.167.973,58.325.745,
Costo dell'indebitamento finanziario netto,13.485.000,2.506.000,1.184.000,843.000,
Risultato delle aziende associate al bilancio di Gruppo,,,,857.000,
Risultato netto delle attività dismesse,,,,,
Utile netto,62.117.828,45.492.532,39.342.421,41.275.224,38.408
Utile netto: quota del gruppo,61.903.162,45.190.464,39.070.532,41.149.309,38.408
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,Local GAAP
