Millenium,2023,2022,2021,2020,2019
Fatturato,23.594,15.974,18.461,16.055,16.164
Acquisti consumati,3.904,-706,71,50,
Spese per il personale,1.150,1.148,989,892,798
Risultato d'esercizio,7.932,2.004,7.952,7.154,8.262
Imposte sugli utili,245,-1.132,2.237,420,2.350
Utile netto,3.743,205,3.861,5.076,4.087
Utile netto: quota del gruppo,3.747,-527,3.641,4.837,3.688
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
