Millenium,2023,2022,2021,2020,2019
Fatturato,6.301.581,7.627.961,4.826.741,3.537.997,4.081.333
Proventi dalle attività ordinarie,6.301.581,7.627.961,4.826.741,3.726.208,4.114.777
Risultato operativo,464.640,463.735,453.676,415.413,451.848
Costo dell'indebitamento finanziario netto,95.991,51.876,44.611,43.314,62.300
Risultato delle aziende associate al bilancio di Gruppo,13.099,16.969,16.313,9.208,5.035
Risultato netto delle attività dismesse,,,,,
Utile netto,282.011,269.946,333.401,269.285,265.465
Utile netto: quota del gruppo,254.845,226.017,303.172,239.172,236.362
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
