Millenium,2023,2022,2021,2020,2019
Risultato della gestione del portafoglio (titoli di partecipazioni e immobilizzazioni),0,0,0,0,0
Risultato di gestione di tesoreria,0,0,0,0,0
Fatturato,421.510,515.934,565.139,419.318,365.868
Proventi degli investimenti immobiliari,,,,,
Altri proventi dall'attività,60.195,43.846,,,
Proventi dalle attività ordinarie,481.705,559.780,565.139,419.318,365.868
Risultato operativo,63.012,110.974,68.923,38.203,52.342
Costo dell'indebitamento finanziario netto,0,0,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,768,,83,1,0
Risultato netto delle attività dismesse,,,,,
Utile netto,-13.641,26.475,33.173,-23.144,24.486
Utile netto: quota del gruppo,-17.830,16.502,23.744,-21.943,21.425
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
