Millenium,2023,2022,2021,2020,2019
Fatturato,15.475.853,15.871.500,6.216.930,5.950.418,6.245.242
Proventi dalle attività ordinarie,17.328.221,16.778.307,,,
Risultato operativo,7.102.948,6.092.849,,,
Costo dell'indebitamento finanziario netto,232.516,92.387,,,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.919.662,4.166.918,1.186.763,342.172,211.545
Utile netto: quota del gruppo,4.919.662,4.166.918,1.187.041,342.202,211.554
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,Local GAAP,Local GAAP,Local GAAP
