Millenium,2023,2022,2021,2020,2019
Fatturato,91.550.435,50.155.344,36.297.183,22.699.619,12.842.739
Proventi dalle attività ordinarie,93.270.895,51.348.376,37.001.539,23.436.555,13.208.112
Risultato operativo,12.272.585,10.722.585,9.104.515,4.892.955,2.086.722
Costo dell'indebitamento finanziario netto,2.921.929,326.939,150.239,100.045,112.828
Risultato delle aziende associate al bilancio di Gruppo,0,0,0,0,0
Risultato netto delle attività dismesse,,,0,0,0
Utile netto,6.693.127,7.504.220,7.843.688,3.392.106,1.399.813
Utile netto: quota del gruppo,6.693.127,7.504.220,7.843.688,3.392.106,1.399.813
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
