Millenium,2022,2021,2020,2019,2018
Fatturato,30.405,27.641,20.974,30.648,29.225
Acquisti consumati,1.602,1.275,948,1.110,565
Spese per il personale,16.995,13.091,9.231,8.125,3.319
Risultato d'esercizio,4.740,3.783,2.433,3.395,4.252
Imposte sugli utili,416,426,206,-18,-50
Utile netto,3.060,2.438,1.207,2.294,3.270
Utile netto: quota del gruppo,3.024,2.466,1.194,2.232,3.291
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
