Millenium,2023,2022,2021,2020,2019
Fatturato,3.122.800,2.898.100,2.534.500,2.377.500,2.287.900
Proventi dalle attività ordinarie,3.186.700,2.964.500,2.606.300,2.490.400,2.287.900
Risultato operativo,1.362.300,1.333.500,1.200.400,1.176.600,1.155.100
Costo dell'indebitamento finanziario netto,150.900,124.100,91.300,79.500,86.300
Risultato delle aziende associate al bilancio di Gruppo,2.600,-1.000,300,-3.900,3.300
Risultato netto delle attività dismesse,2.500,-20.300,-12.800,2.100,
Utile netto,882.800,857.700,790.800,795.300,763.900
Utile netto: quota del gruppo,885.400,857.000,789.400,785.500,757.300
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
