Millenium,2023,2022,2021,2020,2019
Fatturato,585.750,483.630,492.288,575.520,565.875
Proventi dalle attività ordinarie,590.951,488.016,497.697,590.784,577.417
Risultato operativo,56.118,22.699,145.175,69.440,97.085
Costo dell'indebitamento finanziario netto,8.230,1.899,614,3.142,3.518
Risultato delle aziende associate al bilancio di Gruppo,57.278,24.719,29.576,15.015,10.475
Risultato netto delle attività dismesse,0,-38,40.437,,
Utile netto,84.679,36.423,164.521,103.474,77.038
Utile netto: quota del gruppo,66.596,21.053,139.697,68.315,63.520
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
