Millenium,2023,2022,2021,2020,2019
Fatturato,1.627.880,1.543.364,1.320.637,1.190.233,1.463.846
Proventi dalle attività ordinarie,1.627.880,1.543.364,1.320.637,1.190.233,1.463.846
Risultato operativo,105.171,70.487,58.373,7.103,48.440
Costo dell'indebitamento finanziario netto,16.736,12.222,12.647,19.713,18.083
Risultato delle aziende associate al bilancio di Gruppo,0,10,1.523,0,0
Risultato netto delle attività dismesse,-6.658,-1.438,-24.490,-16.214,-7.903
Utile netto,60.923,31.193,4.129,-34.642,6.202
Utile netto: quota del gruppo,57.766,29.562,1.951,-35.131,3.202
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
