Millenium,2023,2022,2021
Fatturato,127.307,152.362,75.237
Acquisti consumati,6.999,5.346,358
Spese per il personale,12.513,11.452,7.373
Risultato d'esercizio,26.379,57.657,1829
Imposte sugli utili,6.302,16.626,4.914
Utile netto,17.527,39.877,12.494
Utile netto: quota del gruppo,17.465,39.820,1249
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
