Millenium,2023,2022,2021,2020,2019
Fatturato,7.447.567,7.349.147,6.799.577,5.782.402,5.774.851
Proventi dalle attività ordinarie,7.447.567,7.349.147,6.799.577,5.782.402,5.774.851
Risultato operativo,100.626,-248.254,198.995,-101.765,85.659
Costo dell'indebitamento finanziario netto,174.871,39.682,26.214,53.428,56.162
Risultato delle aziende associate al bilancio di Gruppo,2.222,-785,-14.730,-11.888,-3.168
Risultato netto delle attività dismesse,,,,,-24.329
Utile netto,-53.111,-323.953,21.815,-244.520,-148.239
Utile netto: quota del gruppo,-52.830,-308.870,21.778,-240.057,-141.242
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
