Millenium,2016,2015,2019,2018,2017
Fatturato,4.145,5.147,,21.986,20.895
Proventi dalle attività ordinarie,4.145,5.147,,21.986,20.895
Risultato operativo,-4.146,-1.284,,-3.007,-2.088
Costo dell'indebitamento finanziario netto,362,581,,311,229
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-4.521,-1.878,,-3.432,-2.315
Utile netto: quota del gruppo,-4.234,-1.772,,-3.433,-2.317
Chiusura esercizio fiscale,2016-12-31,2015-12-31,2019-12-31,2018-12-31,2017-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
