Millenium,2023,2022,2021,2020,2019
Fatturato,29.795.182,29.838.343,26.398.965,21.180.409,32.096.817
Proventi dalle attività ordinarie,29.795.182,29.838.343,26.398.965,21.180.409,32.096.817
Risultato operativo,1.528.249,4.998.417,7.687.683,5.026.395,4.631.347
Costo dell'indebitamento finanziario netto,-8.006,205.517,255.561,188.065,-666.919
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,975.041,3.485.195,5.639.312,3.815.524,3.549.937
Utile netto: quota del gruppo,975.041,3.485.195,5.639.312,3.815.524,3.549.937
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
