Millenium,2023,2022,2021,2020,2019
Fatturato,46.150.827,34.131.554,24.997.804,18.288.036,16.308.791
Proventi dalle attività ordinarie,46.150.827,34.131.554,24.997.804,18.288.036,16.308.791
Risultato operativo,6.316.158,7.983.549,6.694.767,4.037.507,5.263.869
Costo dell'indebitamento finanziario netto,350.160,125.800,119.348,136.340,156.595
Risultato delle aziende associate al bilancio di Gruppo,-538.382,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.371.637,6.974.949,4.878.619,5.891.315,3.813.707
Utile netto: quota del gruppo,4.371.637,6.974.949,4.878.619,5.891.315,3.813.707
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
