Millenium,2022,2021,2020,2019,2018
Fatturato,4.102.056,3.619.004,2.725.550,2.308.942,2.576.939
Proventi dalle attività ordinarie,4.102.056,3.619.004,2.725.550,2.308.942,2.576.939
Risultato operativo,265.064,209.564,143.878,91.613,118.966
Costo dell'indebitamento finanziario netto,-49.616,21.200,-7.016,-12.484,-8.271
Risultato delle aziende associate al bilancio di Gruppo,-1.620,1.579,-28,142,467
Risultato netto delle attività dismesse,2.359,-8.552,-17.638,-16.378,-22.727
Utile netto,243.656,219.092,80.332,62.425,66.760
Utile netto: quota del gruppo,243.642,218.715,80.189,62.886,67.016
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
