Millenium,2023,2022,2021,2020,2019
Fatturato,75.060.458,76.979.649,71.236.961,65.233.588,60.797.342
Proventi dalle attività ordinarie,75.060.458,76.979.649,71.236.961,65.233.588,60.797.342
Risultato operativo,-3.688.073,-1.354.608,1.132.031,1.379.955,1.849.507
Costo dell'indebitamento finanziario netto,0,0,103.873,42.545,27.172
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,61.157.071,-1.519.515,,,
Utile netto,58.131.733,-2.564.003,368.609,564.927,1.150.036
Utile netto: quota del gruppo,58.213.479,-2.516.005,387.098,564.927,1.150.036
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
