Millenium,2023,2022,2021,2020,2019
Risultato della gestione del portafoglio (titoli di partecipazioni e immobilizzazioni),0,0,0,0,0
Risultato di gestione di tesoreria,0,0,0,0,0
Fatturato,151.387,155.252,201.567,168.675,141.256
Proventi degli investimenti immobiliari,,,,,
Altri proventi dall'attività,,,,,
Proventi dalle attività ordinarie,151.387,155.252,201.567,168.675,141.256
Risultato operativo,4.192,12.093,7.287,4.120,9.417
Costo dell'indebitamento finanziario netto,-1.954,802,12.477,14.030,11.600
Risultato delle aziende associate al bilancio di Gruppo,,,,0,0
Risultato netto delle attività dismesse,44.409,-7.487,0,0,0
Utile netto,49.925,-1.773,-1.745,1.772,253
Utile netto: quota del gruppo,50.500,651,582,1.800,450
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
